"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
5.6,0,-180,-25.1627185761764,-3.14543599780702
5.6,0,-178,-22.8721839308624,-3.40521664620858
5.6,0,-176,-20.2505067245887,-3.88322379932635
5.6,0,-174,-18.0188806117381,-4.60955967674375
5.6,0,-172,-16.1277001884715,-5.62595394596582
5.6,0,-170,-14.4823161106044,-6.9952564991692
5.6,0,-168,-13.0241788436441,-8.8193960345543
5.6,0,-166,-11.719482287965,-11.2766199432735
5.6,0,-164,-10.5454929563737,-14.6959699685014
5.6,0,-162,-9.48383963980859,-19.4914279895289
5.6,0,-160,-8.51879479959992,-22.2910427292965
5.6,0,-158,-7.6378345712366,-18.1775223713732
5.6,0,-156,-6.83260718277997,-14.5433918906626
5.6,0,-154,-6.09931963506671,-12.1444753384143
5.6,0,-152,-5.43826351224534,-10.5291709823187
5.6,0,-150,-4.85269320182085,-9.42967030896527
5.6,0,-148,-4.34748283470424,-8.69406308958734
5.6,0,-146,-3.92794276409627,-8.22885489386848
5.6,0,-144,-3.598994935908,-7.97251670948095
5.6,0,-142,-3.36472636138359,-7.8832883258115
5.6,0,-140,-3.22823490631964,-7.9331388782706
5.6,0,-138,-3.19165557051309,-8.1041634059204
5.6,0,-136,-3.25627825468325,-8.38565391439627
5.6,0,-134,-3.42270844076305,-8.77115395467878
5.6,0,-132,-3.69106089500429,-9.25547050221426
5.6,0,-130,-4.06120549818166,-9.83199693757228
5.6,0,-128,-4.53310242484345,-10.4908790441435
5.6,0,-126,-5.10727296685135,-11.218599228526
5.6,0,-124,-5.7854557322279,-11.9993811448023
5.6,0,-122,-6.57150135969995,-12.8181497080874
5.6,0,-120,-7.47257196493506,-13.6634198572038
5.6,0,-118,-8.50074965778148,-14.5268125103278
5.6,0,-116,-9.6752407048814,-15.3949121948629
5.6,0,-114,-11.0254932132479,-16.2300359126358
5.6,0,-112,-12.5956209311652,-16.9422718612289
5.6,0,-110,-14.4497922367736,-17.3754424293092
5.6,0,-108,-16.6721301268598,-17.3604057005128
5.6,0,-106,-19.3151982185996,-16.8439039518598
5.6,0,-104,-22.0389908860363,-15.9484304352051
5.6,0,-102,-23.0833772072696,-14.8728188742045
5.6,0,-100,-21.2786684505736,-13.7766266756778
5.6,0,-98,-18.6648560158495,-12.7499889080274
5.6,0,-96,-16.3617767074543,-11.8321962082533
5.6,0,-94,-14.4699107233568,-11.0344394156124
5.6,0,-92,-12.9089484444401,-10.3543793264251
5.6,0,-90,-11.6006691271091,-9.78380851776204
5.6,0,-88,-10.4886844199085,-9.31233642345285
5.6,0,-86,-9.53453390632762,-8.92904036797086
5.6,0,-84,-8.71245807425739,-8.62312027834801
5.6,0,-82,-8.00561197472844,-8.38408287470354
5.6,0,-80,-7.40357269435254,-8.2017300503093
5.6,0,-78,-6.90073704983543,-8.06611148069562
5.6,0,-76,-6.49532004364872,-7.96755073552716
5.6,0,-74,-6.18878604170762,-7.89682710596051
5.6,0,-72,-5.98563390442822,-7.84556733958835
5.6,0,-70,-5.89352662431114,-7.80685662756609
5.6,0,-68,-5.92382447018008,-7.77601119302106
5.6,0,-66,-6.09267215237893,-7.7513770033857
5.6,0,-64,-6.42294391192155,-7.73496034147972
5.6,0,-62,-6.9476422321269,-7.73269246209523
5.6,0,-60,-7.71593927625478,-7.75419880845856
5.6,0,-58,-8.80427452165731,-7.81205853760255
5.6,0,-56,-10.3370784706264,-7.92064342451541
5.6,0,-54,-12.5201445031179,-8.09465853332506
5.6,0,-52,-15.6027602267958,-8.34744691194783
5.6,0,-50,-18.5425500290605,-8.68898410419245
5.6,0,-48,-16.2885151169434,-9.12332130632466
5.6,0,-46,-11.8330239637002,-9.64512541875435
5.6,0,-44,-8.21023806223437,-10.2351228996881
5.6,0,-42,-5.34847669616201,-10.8551749565917
5.6,0,-40,-3.00006926227424,-11.4460858763409
5.6,0,-38,-1.00867355863693,-11.9345557702159
5.6,0,-36,0.720218695462491,-12.2548936989698
5.6,0,-34,2.24591840508651,-12.378656119179
5.6,0,-32,3.60718934216318,-12.3296032980651
5.6,0,-30,4.8302221420928,-12.1695991384616
5.6,0,-28,5.93317594426268,-11.9694616088318
5.6,0,-26,6.92890092670493,-11.7873304840802
5.6,0,-24,7.82664620775418,-11.6614307222467
5.6,0,-22,8.63317095597409,-11.6115257963677
5.6,0,-20,9.35348693267744,-11.6425450860394
5.6,0,-18,9.99136379808371,-11.7473913057372
5.6,0,-16,10.5496766035571,-11.9087407038701
5.6,0,-14,11.0306456501117,-12.101145583326
5.6,0,-12,11.4360016097832,-12.2952511410928
5.6,0,-10,11.7670981871991,-12.4651061244103
5.6,0,-8,12.0249879010458,-12.5970089632005
5.6,0,-6,12.2104722553353,-12.6955594801292
5.6,0,-4,12.3241347007593,-12.7828966106908
5.6,0,-2,12.3663627197936,-12.8913360061902
