"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
5.6,90.0000000000002,-22,3.20827152989964,-0.256330980006947
5.6,90.0000000000002,-20,4.48800084523147,-0.954303988371891
5.6,90.0000000000002,-18,5.6021853070688,-1.71954552217607
5.6,90.0000000000002,-16,6.57029880724061,-2.55007835508065
5.6,90.0000000000002,-14,7.4066589385766,-3.43934521699217
5.6,90.0000000000002,-12,8.12178178246977,-4.37352784272771
5.6,90.0000000000002,-10,8.72336765865317,-5.32912330196198
5.6,90.0000000000002,-8,9.21700705517246,-6.27259161122428
5.6,90.0000000000002,-6,9.60668677863528,-7.16462108349696
5.6,90.0000000000002,-4,9.89515371316466,-7.97002417702512
5.6,90.0000000000002,-2,10.0841742879328,-8.66879314703298
5.6,90.0000000000002,0,10.1747137908205,-9.25790957422822
5.6,90.0000000000002,2,10.1670498435961,-9.73546234499171
5.6,90.0000000000002,4,10.0608271603639,-10.070376461559
5.6,90.0000000000002,6,9.85505484224714,-10.1770766567654
5.6,90.0000000000002,8,9.54804177943034,-9.93186801802951
5.6,90.0000000000002,10,9.13725906174799,-9.25585630985645
5.6,90.0000000000002,12,8.6191091066907,-8.1979998260206
5.6,90.0000000000002,14,7.9885670505664,-6.91021730337627
5.6,90.0000000000002,16,7.23863637764229,-5.55176750755812
5.6,90.0000000000002,18,6.35951910019544,-4.2323307206934
5.6,90.0000000000002,20,5.33732303422962,-3.01006835997602
5.6,90.0000000000002,22,4.15197518063325,-1.90892934582052
5.6,90.0000000000002,24,2.77368730884678,-0.934034796072174
5.6,90.0000000000002,26,1.15658713585433,-0.0811753531586894
5.6,90.0000000000002,28,-0.77369780110107,0.658049381715442
5.6,90.0000000000002,30,-3.1468341853017,1.29358892639493
5.6,90.0000000000002,32,-6.21379566679335,1.835600957357
5.6,90.0000000000002,34,-10.5363470592404,2.29376115794299
5.6,90.0000000000002,36,-17.3330534799623,2.67689563260456
5.6,90.0000000000002,38,-18.1829220848064,2.99277968988472
5.6,90.0000000000002,40,-11.8849357225176,3.24803533340674
5.6,90.0000000000002,42,-8.10956850900482,3.44810313362662
5.6,90.0000000000002,44,-5.63864067361962,3.59728219241269
5.6,90.0000000000002,46,-3.87287018009057,3.69883543871297
5.6,90.0000000000002,48,-2.5461822840149,3.75515339686636
5.6,90.0000000000002,50,-1.52159860076248,3.7679629672776
5.6,90.0000000000002,52,-0.720554951555246,3.73856233446273
5.6,90.0000000000002,54,-0.0943424728853367,3.66806085178408
5.6,90.0000000000002,56,0.389149442059761,3.5576038780786
5.6,90.0000000000002,58,0.752273179167677,3.40856600278315
5.6,90.0000000000002,60,1.01143859493435,3.22270034685147
5.6,90.0000000000002,62,1.17936391535931,3.00223540123463
5.6,90.0000000000002,64,1.26645562478833,2.74991364401221
5.6,90.0000000000002,66,1.28167543987734,2.46896827375553
5.6,90.0000000000002,68,1.23309103735713,2.16303672799716
5.6,90.0000000000002,70,1.12822267380414,1.83601331712742
5.6,90.0000000000002,72,0.974250422755934,1.49184903529588
5.6,90.0000000000002,74,0.778119247593784,1.13431426764027
5.6,90.0000000000002,76,0.546563640047716,0.766748338101232
5.6,90.0000000000002,78,0.28606613406146,0.391826176484179
5.6,90.0000000000002,80,0.00276227328423563,0.0113740147926083
5.6,90.0000000000002,82,-0.297693370998092,-0.373738990230017
5.6,90.0000000000002,84,-0.610281781573324,-0.763617904226088
5.6,90.0000000000002,86,-0.930773007880303,-1.15926843427917
5.6,90.0000000000002,88,-1.25585606302307,-1.56244938523546
5.6,90.0000000000002,90,-1.58322550233774,-1.97548118381466
5.6,90.0000000000002,92,-1.91161159284879,-2.40104907832666
5.6,90.0000000000002,94,-2.2407500923624,-2.84204393082849
5.6,90.0000000000002,96,-2.57129716542681,-3.30148516688706
5.6,90.0000000000002,98,-2.90470280676745,-3.78257065131749
5.6,90.0000000000002,100,-3.24306104614154,-4.2888965405756
5.6,90.0000000000002,102,-3.58895693732895,-4.82488421583212
5.6,90.0000000000002,104,-3.94532939986805,-5.39643874547559
5.6,90.0000000000002,106,-4.3153661033376,-6.01184491797954
5.6,90.0000000000002,108,-4.70244226720566,-6.68289168718296
5.6,90.0000000000002,110,-5.11010966018923,-7.42622387617493
5.6,90.0000000000002,112,-5.54213512095581,-8.26498107892783
5.6,90.0000000000002,114,-6.00257932030097,-9.23093313764691
5.6,90.0000000000002,116,-6.49589584909986,-10.3675969059081
5.6,90.0000000000002,118,-7.02701752791282,-11.7352466093863
5.6,90.0000000000002,120,-7.60138039555646,-13.4191396187807
5.6,90.0000000000002,122,-8.22481484787364,-15.5406862330357
5.6,90.0000000000002,124,-8.90320461570439,-18.2505287251538
5.6,90.0000000000002,126,-9.64176994485318,-21.5014765446226
5.6,90.0000000000002,128,-10.4437568689114,-23.6127779466904
5.6,90.0000000000002,130,-11.3081924446827,-21.9426447714811
5.6,90.0000000000002,132,-12.2262063871593,-19.093159335619
5.6,90.0000000000002,134,-13.175371122053,-16.8031751467439
5.6,90.0000000000002,136,-14.1121485711698,-15.1395048551236
5.6,90.0000000000002,138,-14.9652174741047,-13.9564497010343
5.6,90.0000000000002,140,-15.6383357507223,-13.1282219433112
5.6,90.0000000000002,142,-16.0353423420639,-12.5514898172809
5.6,90.0000000000002,144,-16.1052270606277,-12.1275368669475
5.6,90.0000000000002,146,-15.872403000018,-11.7490702284941
5.6,90.0000000000002,148,-15.4194656487516,-11.3002062641356
5.6,90.0000000000002,150,-14.8417857364091,-10.6781532748658
5.6,90.0000000000002,152,-14.2146849214871,-9.83052718719737
5.6,90.0000000000002,154,-13.5849649639066,-8.7768250291985
5.6,90.0000000000002,156,-12.9761731981898,-7.58981642442896
5.6,90.0000000000002,158,-12.3973430070438,-6.35556673831595
5.6,90.0000000000002,160,-11.8510703322327,-5.14507503000015
5.6,90.0000000000002,162,-11.3399291791998,-4.00640619112867
5.6,90.0000000000002,164,-10.8708577076112,-2.96832104984434
5.6,90.0000000000002,166,-10.4572112549272,-2.04654488011001
5.6,90.0000000000002,168,-10.1186034946681,-1.24895256026747
5.6,90.0000000000002,170,-9.879310566834,-0.579043127250381
5.6,90.0000000000002,172,-9.76636523222385,-0.0380743718549658
5.6,90.0000000000002,174,-9.80829776168521,0.373666960692591
5.6,90.0000000000002,176,-10.0350311847927,0.656106640395844
5.6,90.0000000000002,178,-10.4790615706319,0.808911693705709
5.6,90.0000000000002,180,-11.177872158273,0.831170975624925
