"l [mm]","Freq [GHz]","dB(S(4,4)) []"
11.5,5.45,-13.8853865023427
11.5,5.46,-14.030297764993
11.5,5.47,-14.1098737367431
11.5,5.48,-14.2143328183129
11.5,5.49,-14.4129165733709
11.5,5.5,-14.740880785306
11.5,5.51,-15.2005477738679
11.5,5.52,-15.7664861539515
11.5,5.53,-16.3841559170086
11.5,5.54,-16.9714342306115
11.5,5.55,-17.423252097137
11.5,5.56,-17.6347630911024
11.5,5.57,-17.5419481095509
11.5,5.58,-17.1520763645344
11.5,5.59,-16.5312559034069
11.5,5.6,-15.7667519897682
11.5,5.61,-14.9337400111939
11.5,5.62,-14.0850964151566
11.5,5.63,-13.2546558439531
11.5,5.64,-12.4625718560771
11.5,5.65,-11.7213590293139
11.5,5.66,-11.0387208833073
11.5,5.67,-10.4197620282295
11.5,5.68,-9.86770746747799
11.5,5.69,-9.38505697003835
11.5,5.7,-8.9731448543559
11.5,5.71,-8.63276551362801
11.5,5.72,-8.36439292099752
11.5,5.73,-8.16794970523501
11.5,5.74,-8.04321999756236
11.5,5.75,-7.98968264380449
11.5,5.76,-8.00706794621001
11.5,5.77,-8.09519693862048
11.5,5.78,-8.25385693414093
11.5,5.79,-8.4830320579317
11.5,5.8,-8.78270742393762
11.5,5.81,-9.15347929208777
11.5,5.82,-9.59489512407029
11.5,5.83,-10.1072012029278
11.5,5.84,-10.6899187624709
11.5,5.85,-11.3423881780977
11.5,5.86,-12.0637546282248
11.5,5.87,-12.8524132014998
11.5,5.88,-13.7067342193961
11.5,5.89,-14.6249502467844
11.5,5.9,-15.6046647273027
11.5,5.91,-16.6447088419805
11.5,5.92,-17.7439014140055
11.5,5.93,-18.9021062256179
11.5,5.94,-20.1207486515344
11.5,5.95,-21.4046508531985
11.5,5.96,-22.7583665467811
11.5,5.97,-24.1908705239917
11.5,5.98,-25.7105813157191
11.5,5.99,-27.3195864414176
11.5,6,-28.9947189069707
