"Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
0,0,5.2,5.58677540083957
0,0,5.21,5.50055612641031
0,0,5.22,5.41337715232091
0,0,5.23,5.32531405819084
0,0,5.24,5.23615409073652
0,0,5.25,5.14580456348807
0,0,5.26,5.0542431825055
0,0,5.27,4.9612458155063
0,0,5.28,4.86667939165681
0,0,5.29,4.77038977265504
0,0,5.3,4.67214655278166
0,0,5.31,4.57175970273372
0,0,5.32,4.46904699146005
0,0,5.33,4.36369536564528
0,0,5.34,4.25544567863098
0,0,5.35,4.14398542495037
0,0,5.36,4.02900980334347
0,0,5.37,3.91015614527507
0,0,5.38,3.7871034203858
0,0,5.39,3.65935808777873
0,0,5.4,3.52660717928433
0,0,5.41,3.38840640690949
0,0,5.42,3.24428961607438
0,0,5.43,3.09385668275519
0,0,5.44,2.93669344305578
0,0,5.45,2.77241758001104
0,0,5.46,2.60071627386116
0,0,5.47,2.42146348838474
0,0,5.48,2.23463026591698
0,0,5.49,2.04056788460837
0,0,5.5,1.84002381102878
0,0,5.51,1.63446590428991
0,0,5.52,1.42650154944859
0,0,5.53,1.22049227709618
0,0,5.54,1.02396127786399
0,0,5.55,0.850005746464668
0,0,5.56,0.720225144370165
0,0,5.57,0.662735174509682
0,0,5.58,0.692747205589292
0,0,5.59,0.793846513229862
0,0,5.6,0.934789084122413
0,0,5.61,1.09125048549202
0,0,5.62,1.24909693080111
0,0,5.63,1.40115425270009
0,0,5.64,1.54458537185001
0,0,5.65,1.67939417731317
0,0,5.66,1.80740712482429
0,0,5.67,1.93160470258672
0,0,5.68,2.05555730180378
0,0,5.69,2.18279963681238
0,0,5.7,2.31652284958661
0,0,5.71,2.45920948602271
0,0,5.72,2.61258835483233
0,0,5.73,2.77745011879092
0,0,5.74,2.9539443006398
0,0,5.75,3.14149065899316
0,0,5.76,3.33915348963279
0,0,5.77,3.54561415406067
0,0,5.78,3.75946108138419
0,0,5.79,3.97923313956936
0,0,5.8,4.20353248950838
0,0,5.81,4.43104358850498
0,0,5.82,4.66065134966594
0,0,5.83,4.89137768379682
0,0,5.84,5.1224142240601
0,0,5.85,5.3530789362289
0,0,5.86,5.58279661509633
0,0,5.87,5.8109526308498
0,0,5.88,6.03685243500395
0,0,5.89,6.25946372433976
0,0,5.9,6.47723934740901
0,0,5.91,6.68782124318887
0,0,5.92,6.887603850385
0,0,5.93,7.0714269378531
0,0,5.94,7.23215897860893
0,0,5.95,7.3605031626297
0,0,5.96,7.44527823498503
0,0,5.97,7.47434951231912
0,0,5.98,7.43639270576558
0,0,5.99,7.32342346853841
0,0,6,7.1332385583015
